Lemma_Sense_Id;Example_Sentence_From;Example_Sentence_To
8911;Teenagers exert peer pressure on their fellows to conform to set norms.;
8916;There is a town within five miles of this spot.;V okolí pěti mil je jedno město.
8917;Fishermen work in difficult conditions.;Rybáři pracují v obtížných podmínkách.
8923;The photographer sold prints of the photos to his customers.;Fotograf ty fotky prodal zákazníkům.
8931;I enjoy reading about the history of World War II.;Rád čtu o dějinách druhé světové války.
8932;I enjoy reading about Roman history.;
8943;There is a rule against playing music here.;Normy tu nepovolují hrát.
8946;Do you get what I'm saying?;Rozumíš tomu, co říkám?
8947;I see. So that's why you weren't home.;Rozumím ( or: chápu, or: aha). Tak proto jste nebyli doma.
8948;Do you understand what I'm saying?;Chápeš ( or: pochopil jsi) to, co říkám?
8952;I read the article as critical of the government. What do you think?;Chápu ( or: čtu) ten článek jako kritiku vlády. Co si o tom myslíš?
8953;He doesn't realize how important this is for me.;Nepochopil ( or: neuvědomil si), jak je to pro mne důležité.
8954;I can relate to your experience.;Dokážu se vcítit do toho, co jsi zažil.
8958;He spilled all of the soup on the floor.;
8967;They were recently married.;Před nedávnem se vzali.
8977;She's an expert in her field.;Ve svém oboru je odbornicí.
8981;The football game was exciting.;Ten fotbalový zápas byl vzrušující.
8983;There is a severe lack of skilled mechanics in this town.;Ve městě je kritický nedostatek zkušených mechaniků.
8984;The lack of water has caused the animals to die of thirst.;Kvůli nedostatku vody umírala zvířata žízní.
9005;The red car passed quickly.;
9021;I read the newspaper every day.;
9022;I read the article as critical of the government. What do you think?;Chápu ( or: čtu) ten článek jako kritiku vlády. Co si o tom myslíš?
9023;Can you review my message before you send it?;
9031;She solved the equation first for x and then for y.;Nejdříve tu rovnici řešila pro x, a až pak pro y.
9036;They settled their dispute peacefully.;
9038;Free speech is a necessity in a democracy.;Svoboda projevu je v demokracii nezbytná.
9039;People tend to have slurred speech after a few beers.;Po několika pivech mívají lidé nesrozumitelnou výslovnost.
9040;The vice president's speech was politely applauded.;Viceprezidentova řeč se dočkala zdvořilého potlesku.
9054;He's fourteen and he's started noticing girls.;Je mu čtrnáct a začíná se zajímat o holky ( or: děvčata).
9055;I love my girl and really want to marry her.;Mám svou holku ( or: své děvče, or: svou přítelkyni) rád a chci si ji vzít.
9067;The suit alleged that the company stole their intellectual property.;
9068;They had an argument about what they were going to do that night.;
9069;The congressmen's battle over the budget lasted for years.;Bitva členů kongresu o rozpočet trvala léta.
9070;The conflict over the territory lasted two years.;
9084;Bill has the ability to touch his toes.;
9097;Could you hand me that pen, please?;Prosím podej mi to pero.
9098;When I tell her, I'll put it in a way that won't upset her.;
9099;He passed the pen to her.;Podal jí pero.
9101;Could you give me that book over there, please?;Podej mi prosím támhletu knihu.
9102;Can you give that book to me?;Mohl bys mi podat tamtu knihu?
9103;The journalist reported each new development in the talks.;Novinářka informovala ( or: reportovala, or: podala zprávu) o každém novém vývoji ve vyjednávání.
9104;Who serves next? I think I do.;Kdo teď podává? Myslím, že já.
9105;The murderer appealed his forty-year sentence.;Vrah se odvolal proti čtyřicetiletému trestu.
9106;He submitted the registration form to the doctor.;
9110;They stayed in a hotel on their trip to Chicago.;Během výletu do Chicaga bydleli v hotelu.
9133;I wish complete happiness for my children.;Pro své děti si přeju naprosté štěstí.
9134;I wish he would stop talking.;Kéž by už přestal mluvit!
9135;I wish I were a princess.;Chtěla ( or: přála) bych si být princeznou.
9136;If you desire it enough, you can learn a new language.;
9141;She had to go to school on Monday.;V pondělí musela jít do školy.
9147;Can you tell that I've put on ten pounds?;Řekl bys, že jsem přibral pět kilo?
9148;The witness recognized the suspect.;
9154;He could account for every penny he had spent.;
9155;Just give me a minute and I'll explain.;Minutku, hned to vysvětlím.
9156;She explained her reasoning.;Vysvětlila své myšlenkové pochody.
9176;She lost her place in the queue.;Ztratila své místo ve frontě.
9177;The candidate for governor had never run for high office before.;Ten kandidát na guvernéra se nikdy předtím neucházel o vysoký úřad.
9178;Troy uses his position for personal gain.;Troy využívá svého postavení pro vlastní obohacení.
9179;George has made his position clear.;George objasnil svůj postoj.
9180;Lee was hired for a post in government.;
9184;We have found his location: he is between the church and the school.;Zjistili jsme jeho pozici: Je mezi kostelem a školou.
9185;From his position on the ladder, Henry could see far.;Ze své pozice na žebříku viděl Henry daleko.
9191;There will be a fresh attempt to break the record this year.;Na letošek ohlásil nový pokus o ( or: útok na) rekord.
9202;He was almost home when the car broke down.;Byl už skoro ( or: téměř) doma, když se mu porouchalo auto.
9203;It's near nine o'clock.;Je skoro ( or: téměř) devět hodin.
9204;We are mostly finished with the project.;Už ten projekt máme skoro hotový.
9205;I was nearly in an accident this morning!;Ráno jsem se skoro vyboural.
9215;The basketball team won its first game.;Ten basketbalový tým vyhrál svůj první zápas.
9220;At that point I realized the danger of the situation.;V tom okamžiku jsem si uvědomil nebezpečnost té situace.
9221;He only looked away for a second.;Koukal se stranou je vteřinu ( or: vteřinku, or: chvilku).
9222;Where were you at the moment that you heard that Kennedy had been shot?;Kde jsi byl ve chvíli, kdy jsi slyšel, že Kennedy byl postřelen?
9223;I was only in there for a moment, leaving the shop a few seconds after going in.;Byl jsem v tom obchodě jenom chvíli, odešel jsem po pár sekundách.
9224;I was only gone for a minute!;Byl jsem pryč jen na minutku ( or: okamžik, or: chvilku).
9239;I may be old, but I can still ride a bike.;Možná jsem starý, na kole však pořád jezdit umím.
9240;"The television is very expensive; however, it is worth it.";Ten televizor je velmi drahý, stojí však za to.
9241;We believe he is the thief. However, we have no evidence against him.;Myslíme si, že to ukradl on. Nemáme však žádné důkazy.
9242;It's a good idea. However, I don't think we have the money to fund it.;
9243;She didn't like the price. Nevertheless, she bought it anyway.;Ta cena se jí nezdála, ale přesto to koupila.
9245;The whole team followed his lead.;Celý tým následoval jeho příkladu.
9246;Today's changing weather is an example of coastal climate.;Dnešní proměnlivé počasí je příkladem ( or: ukázkou) pobřežního klimatu.
9248;This is a clear case of political interference.;To je jasný případ ( or: příklad) politicky motivovaného zásahu.
9255;Do you believe in fate? I think I was destined to meet her.;Věříš v osud? Myslím, že setkání s ní mi bylo předurčeno.
9258;With a sudden move, he grabbed the robber.;Rychlým pohybem chytil lupiče.
9259;The outlaw made a move for the door.;Bandita udělal pohyb ke dveřím.
9260;He noticed some movement in the bushes.;
9261;There has been a lot of upward movement by this stock lately.;
9264;The team's shift to the left confused the defence.;Posun týmu doleva zmátl obranu.
9267;I will do that in the future.;Udělám to v budoucnu.
9270;The paperboy collected the money due to him.;
9271;I would like to withdraw a hundred pounds from my account.;Rád bych si ze svého účtu vybral sto liber.
9275;We raised five thousand dollars for the charity.;
9276;Brenda has to pick her favourite flavour of ice cream.;Brenda musí zvolit svou oblíbenou příchuť zmrzliny.
9277;I think that he will choose a blue sweater.;Myslím, že si vybere modrý svetr.
9281;Anna wants to change the agreement.;Anna chce změnit ( or: pozměnit, or: měnit, or: přepsat) tu smlouvu.
9283;The caterpillar changed itself to become a butterfly.;
9284;I need to change my clothes.;
9292;The manager says that his first priority is to serve his customers.;Vedoucí říká, že jeho prioritou je sloužit zákazníkům.
9293;Sometimes a screwdriver can function as a chisel.;Někdy může šroubovák posloužit jako dláto.
9295;He served as the secretary for this meeting and took notes.;
9296;The office also serves as a guest bedroom.;Ta kancelář rovněž slouží jako pokoj pro hosty.
9297;This tool is dedicated for opening bottles. Don't use it for anything else.;
9304;The journalist reported each new development in the talks.;Novinářka informovala ( or: reportovala, or: podala zprávu) o každém novém vývoji ve vyjednávání.
9308;We have invested in land and bought quite a few hectares.;Investovali jsme do pozemků ( or: půdy) a koupili celkem dost hektarů.
9309;The ground here is rich in colour and minerals.;Půda je tady bohatá na barvy a minerály.
9312;The land here is rich and fertile.;Země ( or: půda) je zde úrodná.
9313;Farms are successful because the earth is so rich here.;Zemědělcům se daří, protože je zde tak úrodná půda.
9319;I'm not sure what this thing is.;
9320;What is the subject of that book?;Co je tématem té knihy?
9321;I am studying three subjects in the morning: Chemistry, English and French.;Ráno mám tři předměty: chemii, angličtinu a francouzštinu.
9322;The topic of conversation bored him.;Téma rozhovoru ho nudilo.
9323;There are three items in the basket. Can you guess what they are?;
9325;I hate math class.;
9326;The target of the investigation is to determine who leaked the secrets.;Cílem vyšetřování je zjistit, kdo vypustil ty utajované informace.
9327;The statues were an exhibit in the museum.;Ty sochy byly jako exponát v muzeu.
9335;The basketball team won its first game.;Ten basketbalový tým vyhrál svůj první zápas.
9340;We have a system for fixing this problem. You must follow it step by step.;Máme metodu, jak ten problém vyřešit. Musíte postupovat krok po kroku.
9341;His method of persuasion involves both charm and intimidation.;
9342;The supervisor had a number of management tools.;Inspektor měl řadu manažerských metod.
9344;My hope is that you will succeed by hard work.;Doufám, že díky tvrdé práci uspěješ.
9354;The store lowers prices for sales.;
9358;Demand for this product has fallen recently.;
9359;Please lower the volume on the radio!;
9360;The new construction eased the demand for houses.;Ta nová výstavba zmírnila poptávku po domech.
9382;How much does this sandwich cost?;
9385;What time is it? It's 3:20.;Kolik je hodin? 15:20.
9388;If you write to me I will also write to you.;Pokud mi napíšeš, napíšu ti také.
9389;I bought beer and wine.;Koupil jsem pivo a ( or: i) víno.
9390;Both French and English are spoken in Montreal.;V Montrealu se mluví francouzsky a také anglicky.
9391;I like ice cream, and cake, too.;Mám rád zmrzlinu i dort.
9393;I see her all the time, although I never speak to her.;Vídám ji pořád, ačkoli s ní nikdy nemluvím.
9394;Though it was dark out, they went for a walk.;Ačkoli ( or: třebaže, or: i když, or: ač) se venku už setmělo, vydali se na procházku.
9395;She didn't like the price. Nevertheless, she bought it anyway.;Ta cena se jí nezdála, ale přesto to koupila.
9403;The increase in the number of models for sale failed to raise profits.;Zvýšení ( or: navýšení) prodeje nových modelů nezvýšilo zisk.
9404;The raise in prices made housing difficult to afford.;Vzrůst ( or: vzestup) cen snížil dostupnost bydlení.
9406;He made a commitment to stay at that job for another year.;Měl povinnost zůstat v práci ještě jeden rok.
9407;It is your duty to take out the trash.;Máš za úkol vynášet smetí.
9410;Taking care of the dog is your responsibility.;Péče o psa je tvá povinnost.
9419;The sales floor is incredibly busy today - there is a lot of action.;
9420;The company's illegal activities got it in trouble with the police.;Firma se kvůli svým nezákonným aktivitám dostala do problémů s policií.
9423;The doctor said the patient was cured and could be released from hospital.;Lékař řekl, že pacient už je vyléčený a může být propuštěn z nemocnice.
9424;He loves nature so much that he is thinking about becoming a park ranger.;Miluje přírodu tak moc, že uvažuje, že by se mohl stát správcem obory.
9425;Lions are wild by nature, and there is little you can do to tame them.;Lvi jsou přirozeně ( or: od přírody) divocí a nejde je moc ochočit.
9426;Affairs of state require good policies and capable administrators.;null
9426;The affair over corruption distracted the government.;Ta korupční aféra vládu rozptylovala.
9427;That's none of your business.;To není tvoje věc ( or: záležitost).
9428;Congress needs to deal with the matter of illegal immigration soon.;Kongres se brzy musí vypořádat s otázkou ( or: problémem) ilegální imigrace.
9429;I really don't want to talk about that matter at the moment.;Teď o té záležitosti ( or: věci) opravdu nechci mluvit.
9432;Land the plane on the strip.;Přistaň na té dráze.
9434;He has been married to his wife for three years.;
9435;The path to success has many potholes.;
9448;She is a model, and often works in Milan.;Je modelka a často pracuje v Miláně.
9449;This ball of dough is the model. You should make all of the rest like that one.;Tady máš jednu koblihu jako vzor. Udělej je všechny stejně velké.
9450;Model your design after this pattern.;Udělej svůj nákres podle tohoto vzoru.
9454;You should word it differently so he doesn't get upset.;Měl bys to formulovat jinak, ať ho nerozzlobíš.
9455;He has difficulty conveying his thoughts to the rest of the group.;
9457;He expressed his dissatisfaction with the project.;
9458;The colour red represents blood.;Rudou barvou lze vyjádřit krev.
9459;He commented about the parking problems.;Vyjádřil se k problémům s parkováním.
9460;The author commented on the situation.;Spisovatel se vyjádřil k situaci.
9477;I intend to build my new house on this land.;
9484;The rescue was the act of a brave man.;
9493;The butter is on the table.;
9494;She lies on the bed without sleeping.;Ležela na posteli, aniž by spala.
9495;The papers lie all over his desk.;Papíry ležely po celém jeho stole.
9496;The glass is sitting on the table.;
9497;There is a large cathedral in the centre of town.;
9502;The store sells chocolates, candies and the like.;Ten obchod prodává čokoládu, sladkosti a podobně.
9503;People from the same area usually talk alike.;Lidé ze stejného kraje obvykle mluví stejně ( or: podobně).
9505;This container holds four litres of liquid.;Tato nádoba pojme čtyři litry tekutiny.
9506;Does the silverware set include teaspoons?;Jsou v tom stříbrném servisu i kávové lžičky?
9507;The box contains two bottles.;Tato krabice obsahuje dvě láhve.
9508;His ideas span both philosophy and economics.;Jeho myšlenky zahrnují jak filozofii, tak ekonomii.
9511;We went to the theatre on Friday.;Šli jsme v pátek do divadla.
9512;Old houses look wonderful but they require a lot of care.;Staré domy vypadají nádherně, ale vyžadují mnoho péče.
9513;He's been ill and has received a lot of medical care.;V poslední době polehává a dostává se mu velké lékařské péče.
9528;He looked at the flower.;Podíval se na tu květinu.
9529;He looked to his right.;Podíval se doprava.
9530;Face the teacher when you're talking to her.;Když mluvíš s učitelkou, máš k ní být otočený.
9531;Frank prefers to watch, not participate.;Frank se radši jen kouká a sám se neúčastní.
9532;He eyed her across the room, making her nervous.;Pozoroval ji přes celý pokoj a tím ji znervózňoval.
9541;The spies performed the mission.;Špehové vykonali misi.
9542;The contract was implemented after everyone agreed.;
9552;Tony has a powerful computer.;Tony má výkonný počítač.
9553;He stared at the computer screen.;
9558;The police report named three witnesses.;Policejní zpráva zmínila tři svědky.
9559;The speaker listed his ideas.;Řečník vyjmenoval své nápady.
9566;He has difficulty conveying his thoughts to the rest of the group.;
9573;The fans always showed good school spirit by cheering.;Fanouškové povzbuzováním projevovali dobrého ducha školy.
9582;The article in the newspaper was fair and well balanced.;Ten novinový článek byl spravedlivý a vyvážený.
9583;She got a dog for Christmas.;K Vánocům dostala psa.
9593;Before you plant seeds, you need to prepare the ground.;Než zaseješ, musíš si připravit ( or: nachystat) půdu.
9594;He prepared a wonderful meal for us.;Připravil ( or: přichystal) pro nás báječné jídlo.
9595;I am coming out soon - I just need a minute to prepare.;
9598;I need to put on a clean shirt.;Musím si vzít čistou košili.
9608;If the statement is true, then we will have to accept the conclusion.;Je-li to pravda, budeme muset ty závěry přijmout.
9611;Let's close the negotiations now.;
9612;He contracted with the company to provide services.;Sjednal si s tou firmou poskytování služeb.
9624;The play is at eight o'clock.;To představení se bude konat v osm hodin.
9627;Are you looking for anything special?;Hledáte něco konkrétního?
9628;Which particular shade of blue were you looking for?;Jaký odstín modré jste to přesně hledali?
9637;You should come here for dinner tonight.;Dnes bys sem měl přijít na večeři.
9642;The square was popular with the tourists because of its cafes and surrounding buildings.;
9670;We fixed the price at nineteen dollars each.;Stanovili jsme obě ceny na devatenáct dolarů.
9673;Let's set the price of the shirt at twenty dollars.;Stanovme cenu té košile na dvacet dolarů.
9674;The salesman quoted a price.;Obchodník udal ( or: nabídl, or: stanovil) cenu.
9688;The Class of 2006 will be very large.;Ročník 2006 bude velmi početný.
9689;She is ten years old, so is probably in Fourth Grade.;
9693;The house had very low water pressure, making showering difficult.;V tom domě je velmi nízký tlak vody, takže sprchování je problematické.
9694;Wes is under a lot of pressure.;Wes je pod obrovským tlakem.
9696;The strain of working too many hours really affected him.;
9697;The strain of lifting too many boxes was too much for him.;
9702;Who is that in front of the group of people?;Kdo je to v čele té skupiny lidí?
9706;He thought it was right to pay his taxes.;Zastával názor, že platit daně je správné.
9707;I think that we should take that road.;
9708;Many people assume that a tie indicates a person of authority.;Mnoho lidí předpokládá ( or: se domnívá, or: si myslí), že kravata je znakem autority.
9717;It was the doctor's professional opinion that the victim had been strangled.;Podle lékařova odborného názoru byla oběť uškrcena.
9718;The Medical Council is the professional body for doctors.;
9724;In the past, we used to wash our clothes by hand.;V minulosti jsme své šaty prali ručně.
9727;It is too hot around here in July.;V červenci tu bývá horko.
9728;He's a really good customer, and has been coming here for years.;zejména služby
9731;The company has just won two new accounts.;Společnost získala dva nové zákazníky ( or: klienty).
9732;I think there is a big market for customized motorcycles.;Myslím, že poptávka po motocyklech na zakázku je velká.
9737;The measure was approved by the legislature.;Opatření bylo schváleno parlamentem.
9750;What time are they coming?;V kolik hodin přijdou?
9751;My family will be waiting for me when I arrive.;Rodina mě bude očekávat, když přijedu.
9753;What's the right answer to this question?;Jaká je správná odpověď na tuto otázku?
9754;Good answer!;Dobrá odpověď!
9755;It's only right that you have a fair trial.;Je správné, že se ti dostane náležitého procesu.
9756;The student gave the correct answer.;Student dal správnou ( or: bezchybnou) odpověď.
9757;Yes, I think he did the correct thing by calling her.;Ano, myslím si, že bylo správné ( or: vhodné), že jí zavolal.
9758;The chef gave a demonstration of the proper way to skin a chicken.;Kuchař předvedl správný způsob, jak se z kuřete odstraňuje kůže.
9761;The encounter with his old girlfriend was awkward.;To setkání s bývalou přítelkyní mu připadalo trapné.
9763;The community meeting lasted for two hours.;Schůze ( or: schůzka) trvala dvě hodiny.
9764;The director's assistant made a lunch appointment for him.;Asistentka ředitele mu dohodla pracovní oběd.
9768;Correcting the spelling was an easy job.;Opravit pravopis bylo jednoduché ( or: snadné, or: lehké).
9769;The dress was all one colour - plain blue.;
9771;This is an issue that concerns everyone.;
9772;This problem deals with employee relations.;Tento problém se týká ( or: dotýká) vztahů mezi zaměstnanci.
9773;In this new situation, the old rules do not apply.;Na tuto novou situaci se už stará pravidla nevztahují.
9774;To what does this call refer?;Čeho se týká tento hovor?
9776;The answers to the maths problems can be found in the textbook.;Odpovědi k těmto matematickým problémům lze najít v učebnici.
9777;I don't have an answer to your question.;Na tvou otázku nemám odpověď.
9778;Give me a response by tomorrow.;Zítra mi dej odpověď.
9779;"His reply was a simple ""Yes"".";"Jeho odpovědí bylo prosté ""ano""."
9782;The parts are going to be shipped in bulk.;Tyto části se budou posílat vcelku.
9785;The first scene of the play takes place in the bedroom.;První scéna té hry se odehrává v ložnici.
9786;His son created a big scene over his desire for ice cream. He didn't stop crying till they got home.;Jeho syn udělal velkou scénu, protože chtěl zmrzlinu. Nepřestal plakat, dokud nedorazili domů.
9791;We live in a safe neighbourhood.;Bydlíme v bezpečné ( or: klidné) čtvrti.
9793;The Alps are some of the most impressive mountains.;Alpy jsou jedny z nejúchvatnějších hor ( or: velehor).
9796;Can you send me the file as an attachment in an email?;Můžeš mi ten soubor zaslat v příloze e-mailu?
9797;She has a rock collection.;Má sbírku kamenů.
9801;I'm sorry but I made a mistake. The correct number is four.;Promiňte, spletl ( or: zmýlil) jsem se. Správně má být čtyři.
9802;I should have given him the job: I made a mistake there.;Měl jsem mu tu práci dát, byla to chyba.
9803;The accident was my fault, as I wasn't looking where I was going.;
9810;Could we have some light in the room? It's too dark.;
9811;We have three lights in this room.;V tomto pokoji máme tři světla.
9812;He always saw things in a negative light.;
9826;Recent world events have been quite worrying.;
9827;Here's the schedule of events for the next season.;Tady máte plán všech událostí ( or: akcí) na příští sezónu.
9837;He ensured that the blender was in stock before he went to buy it.;
9838;They arranged for a babysitter to take care of the children.;Zařídili si hlídání dětí. Sehnali si paní na hlídání dětí.
9843;He was so nervous that he could hear his heart beating.;Byl tak nervózní, že slyšel bít své srdce.
9844;In his heart, he knew that she would stay loyal.;V hloubi duše ( or: svého nitra) věděl, že ona k němu bude loajální.
9850;The heart of the city is alive with bars and restaurants.;V srdci města je mnoho barů a restaurací.
9888;He had finally convinced his customers of the advantages of his product.;Konečně přesvědčil zákazníky o výhodách svého výrobku.
9889;I got him to give me a pay rise.;Přesvědčila jsem ho, aby mi přidal.
9894;I'm just going to get some more milk.;Jdu jen koupit trochu mléka.
9895;Billy is going to buy a car.;
9896;I purchased some office supplies yesterday.;
9903;Yes, indeed, I do plan to eat out tonight.;Jasně, dnes chci večeřet v restauraci.
9904;I will certainly try to help.;null
9904;It certainly is hot outside.;Venku je fakt horko.
9905;The student definitely appreciates the scholarship money.;Toho studenta rozhodně těší, že má stipendium.
9912;The captain changed the ship's course.;Kapitán změnil kurz ( or: směr).
9913;Mr. Adams is teaching the course.;Kurz vede pan Adams.
9917;He lost his keys.;Ztratil klíče.
9918;They knew that they were going to lose the game.;
9919;With a sweep of his cape, the magician disappeared entirely.;
9936;He followed his wife into the house.;Sledoval svou ženu do domu.
9939;He follows his heart, wherever it takes him.;
9940;He watched the fight in the park.;Sledoval ( or: pozoroval) boj v parku.
9941;He eyed her across the room, making her nervous.;Pozoroval ji přes celý pokoj a tím ji znervózňoval.
9942;The teacher tracked the student's progress.;Učitel sledoval pokrok studentů.
9943;He monitored the patient's status overnight.;Monitorovala stav pacienta celou noc.
9944;The spy tailed the official to find out whom he was working with.;Špión sledoval úřadníka, aby zjistil, s kým má co do činění.
9955;There is a window of opportunity to buy it cheap before the prices rise again.;Máme příležitost koupit to levně, než ceny zase půjdou nahoru.
9958;Is there room for improvement with this product?;Je možné ten výrobek nějak vylepšit?
9959;I hope to have the chance to travel.;Doufám, že budeme mít příležitost ( or: možnost) cestovat.
9960;There might be an opportunity to ski while we are there.;Možná se naskytne příležitost lyžovat, když tam budeme.
9961;We have an opportunity to buy the house at an excellent price.;Naskytla se nám možnost prodat dům za skvělou cenu.
9974;He's always complaining but he never does anything about it.;Pořád si stěžuje, ale nikdy s tím nic neudělá.
9975;My favourite show on TV is on Wednesdays at eight o'clock.;Můj oblíbený televizní program ( or: pořad) je každou středu v osm.
9976;You can always take the train if your car's not working.;
9977;I will always love you.;Budu tě pořád milovat.
9978;He hadn't eaten breakfast, but he was still not hungry.;Nesnídal, a přesto ještě pořád neměl hlad.
9986;This movie is based on an actual court case.;Ten film je založen na skutečném soudním případu.
9987;She doesn't live in the real world.;Nežije ve skutečném ( or: opravdovém) světě.
9994;The Romans were a militaristic people.;Římané byli válečný lid.
9995;The art exhibition displayed some of his stills of birds flying.;Ta výstava umění přinesla některé z jeho fotografií létajících ptáků.
9999;Luke took a picture of his family.;Luke udělal fotku své rodiny.
10000;Do you want to see the photos from our trip to Argentina?;Chceš vidět fotky z naší cesty do Argentiny?
10001;The photographer sold prints of the photos to his customers.;Fotograf ty fotky prodal zákazníkům.
10005;The gold watch was beautiful.;Ty zlaté hodinky byly překrásné.
10007;The highlight of the trip was the visit to the Eiffel Tower.;Zlatým hřebem ( or: vrcholem) našeho výletu byla návštěva Eiffelovy věže.
10014;In many areas, August is a humid month.;V mnoha oblastech bývá v srpnu vysoká vlhkost vzduchu.
10015;Father read a bedtime story.;Otec četl pohádku na dobrou noc.
10031;He sells newspapers for 50 cents each.;
10037;Much learning takes place outside of the classroom.;Učení se probíhá z velké části mimo učebnu.
10047;My office is on the third floor.;Má kancelář je ve třetím patře.
10057;"He replied ""yes"".";"Odpověděl: ""Ano."""
10059;The teacher tried to answer all of his students' questions.;Učitel se snažil zodpovědět ( or: odpovědět na) všechny otázky studentů.
10060;When he is unsure of the answer to a question, he does not respond.;Když si není jistý odpovědí, neodpovídá.
10064;He is the master at fixing old cars.;
10074;Returns must be accompanied with a receipt.;Vrácené zboží musí být doprovázeno paragonem.
10087;You need to keep your feet on the inside of the line.;
10092;She asked me if I wanted dinner.;Ptala ( or: zeptala) se mě, jestli chci večeři.
10093;He asked his father about jobs in the factory.;Ptal ( or: zeptal) se otce na pracovní příležitosti v továrně.
10094;They asked their uncle for a loan.;
10098;Since you are busy, I will cook dinner.;Jelikož máš práci, udělám večeři já.
10099;Given his reputation, I'm not sure we should hire him.;Vzhledem k jeho pověsti nevím, jestli ho máme přijmout.
10106;The meeting was led by Mister Johnson.;Schůzi řídil pan Johnson.
10107;Hey mister! Mister! You forgot your hat.;Haló, pane! Pane! Zapomněl jste si klobouk.
10108;How can I help you, sir?;Jak vám mohu pomoci, pane?
10118;I need to go to the bank to withdraw money today.;Musím si dnes jít do banky vybrat peníze.
10121;The company president makes a lot of money.;Prezident ( or: generální ředitel) společnosti vydělává mnoho peněz.
10124;This battery still has power.;
10125;He needed all his energy as he cycled uphill.;
10126;The machine converted steam into usable energy.;Ten stroj přeměnil páru na použitelnou energii.
10128;The children are so full of life.;Ty děti jsou tak plné života.
10129;The house lost power for three hours last night. We had to use candles and couldn't watch TV.;Včera večer se na tři hodiny přerušil přívod elektrické energie. Museli jsme svítit svíčkami a nemohli jsem se koukat na televizi.
10150;They made a visit to the branch office.;Byli na návštěvě v jedné pobočce.
10153;Liz begins her homework as soon as she gets home.;
10158;The chairman started the meeting.;Předsedající zahájil schůzi.
10159;The company will launch its new product on Wednesday.;Ve středu spouští společnost prodej nového výrobku.
10164;The guard ordered them to stop.;Hlídka jim přikázala zastavit.
10172;Can we rest for a while or do we need to keep walking?;Mohli bychom si na chvilku odpočinout nebo musíme jít dále?
10173;Instead of rolling into the water, the golf ball stayed on the grass.;Golfový míček zůstal na trávě a neodkutálel se do vody.
10174;Stop the machine before attempting any repairs.;Zastav ten stroj, než se ho pokusíš opravit.
10175;A family friend stopped in.;
10176;Cut the music. We need to talk for a while.;
10177;Kill the car engine. We are going to be here for a while.;Vypni motor. Chvíli se tu zdržíme.
10201;There were three Germans and a Frenchman.;Byli tam tři Němci a jeden Francouz.
11539;He will review the facts and, consequently, decide what to do.;Chce přezkoumat fakta a poté se rozhodnout, co bude dělat.
11545;He looked at the flower.;Podíval se na tu květinu.
11546;He looked to his right.;Podíval se doprava.
11547;Let me look to see if there is a water leak.;Podívám se, jestli neuniká voda.
11548;Face the teacher when you're talking to her.;Koukej ( or: dívej) se na učitelku, když s ní mluvíš.
11549;She couldn't help glancing at the clock every five minutes.;Otoč se k učitelce, když s ní mluvíš.
11561;I enjoy reading about the history of World War II.;Rád čtu o dějinách druhé světové války.
11562;I enjoy reading about Roman history.;Rád si čtu o dějinách Říma.
11565;Crime is a common occurrence in big cities.;Zločinnost je ve velkých městech běžná ( or: častá).
11566;That's much higher than the going price.;To je mnohem více než běžná ( or: obvyklá) cena.
11567;Car accidents on this road are an everyday occurrence.;Autonehody jsou na této silnici každodenní událostí.
11568;The teacher preferred alternative methods over the normal ones.;Alternativní metody měl učitel radši než ty běžné ( or: normální).
11569;It is just a standard hammer - nothing special.;Alternativní metody měl učitel radši než ty normální.
11570;A garlic press is a familiar household object.;Je to jen běžné kladivo, nic zvláštního.
11583;We finally made it home after midnight.;Nakonec jsme domů dorazili po půlnoci.
11584;Ultimately, we hope to branch into the Asian market.;Po půlnoci jsme konečně dorazili domů.
11585;Ultimately, it's a question of who has the most money.;A konečně, budeme se snažit proniknout na asijský trh.
11590;I am not sure how much to charge, but I have a figure in mind.;Nejsem si jist, kolik si mám účtovat, ale představu o té sumě mám.
11591;The offer of five thousand pounds for the car was rejected by the vendor.;Nabízená částka 5 000 liber byla prodávajícím odmítnuta.
11592;The total comes to fifty-four dollars.;Celková částka je 45 dolarů.
11598;St Patrick's Day is in March.;Svatého Patrika je v březnu.
11602;"He replied ""yes"".";"Odpověděl: ""Ano."""
11605;The teacher tried to answer all of his students' questions.;Učitel se snažil zodpovědět ( or: odpovědět na) všechny otázky studentů.
11606;When he is unsure of the answer to a question, he does not respond.;Když si není jistý odpovědí, neodpovídá.
11611;April is a windy month in some regions.;Duben bývá v některých regionech větrný.
11612;Plot is not the film's strong point.;Zápletka není nejsilnější stránkou toho filmu.
11613;The only aspect of city living that Bob hated was the noise.;Hluk byl jedinou stránkou městského života, kterou Bob nenáviděl.
11614;This site has been online for six years.;Ta stránka už existuje šest let.
11615;I have three pages left to read in the book.;V knize mi zbývají přečíst tři strany.
11617;His greatest strength was his honesty.;V knize mi zbývají přečíst tři stránky.
11622;The military compound was heavily guarded.;Vojenský areál ( or: objekt) byl ostře střežen.
11627;At the age of six, David started kindergarten.;Ve věku šesti let začal chodit do školky.
11628;Her old-fashioned clothes really date her.;
11652;Do you have access to the computer room?;Máš přístup do počítačové místnosti?
11653;She has a positive attitude towards work.;
11657;They ate much more than usual yesterday.;Včera jedli mnohem ( or: o mnoho) více než obvykle.
